_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db537c1ae1691ad071ce0,1911,1912,1,2,,3542,Frank A Gooch,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce6,1914,1915,1,2,,9538,Charles R van Hise,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce8,1913,1914,1,2,,1603,Vilhelm Carlheim-Gyllensköld,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071cdd,1910,1913,3,3,C in 1909|,6913,Wilhelm Ostwald,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce3,1908,1915,7,2,,1888,John N Collie,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce4,1908,1915,7,5,C in 1904|,7552,Sir William Ramsay,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ced,1908,1915,7,2,,6631,John U Nef,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce2,1905,1914,9,5,,1304,Bohuslav Brauner,C in 1914|,7707,Theodore W Richards,1
633db536c1ae1691ad071b02,1912,1912,0,1,,7913,Viktor Rothmund,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b04,1914,1914,0,1,C in 1912|,3649,Victor Grignard,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b06,1914,1914,0,1,,6616,Bernhard Naunyn,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b09,1914,1914,0,1,,3904,Carl Harries,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0a,1915,1915,0,1,,2749,Åke G Ekstrand,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0b,1911,1911,0,1,,7511,Paul Rabe,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0c,1915,1915,0,1,,1206,Emil Bosshard,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0d,1912,1912,0,1,,3692,Icilio Guareschi,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0e,1914,1914,0,1,C in 1902|,3022,Emil H Fischer,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b0f,1913,1913,0,1,,8966,Henrik Söderbaum,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b10,1915,1915,0,1,,14107, Member of the Nobel Committee for chemistry,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b11,1913,1913,0,1,,1396,Ludwik Bruner,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b12,1915,1915,0,1,C in 1905|,9713,Adolf J von Baeyer,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b13,1909,1909,0,1,,1314,Georg Bredig,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b14,1915,1915,0,1,C in 1953|,8746,Hermann Staudinger,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b15,1915,1915,0,1,,9237,Hermann Thoms,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b03,1914,1915,1,2,,800,Ernst Beckmann,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b05,1912,1914,2,3,PM in 1908|,2713,Paul Ehrlich,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b07,1911,1915,4,4,C in 1914|,7707,Theodore W Richards,C in 1915|,10210,Richard M Willstätter,1
633db536c1ae1691ad071b08,1908,1915,7,3,C in 1929|,9751,Hans K von Euler-Chelpin,C in 1915|,10210,Richard M Willstätter,1
633db538c1ae1691ad071d88,1913,1913,0,1,,8798,Hans Stobbe,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8a,1916,1916,0,1,,4263,David Holde,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8b,1919,1919,0,1,,2749,Åke G Ekstrand,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8c,1912,1912,0,1,,1055,Carl Blacher,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8d,1916,1916,0,1,,7047,Hermann Pauly,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8e,1916,1916,0,1,C in 1905|,9713,Adolf J von Baeyer,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d8f,1915,1915,0,1,,9336,Frederick Treadwell,C in 1918|,3758,Fritz Haber,1
633db538c1ae1691ad071d90,1919,1919,0,1,,14107, Member of the Nobel Committee for chemistry,C in 1918|,3758,Fritz Haber,1
